source,reference,tamil_script,ai_output,category
Intha dress unaku nalla suit aaguthu.,This dress suits you well.,ஈந்த த்ரேஸ்ஸ் உநகு நல்ல ஸுஇத் ஆகுது।,,Slang_Replacement
Intha dress unaku nalla suit aaguthu.,This dress suits you well.,ஈந்த த்ரேஸ்ஸ் உநகு நல்ல ஸுஇத் ஆகுது।,,Lexical_Loan_Words
Intha dress unaku nalla suit aaguthu. please,This dress suits you well. (polite),ஈந்த த்ரேஸ்ஸ் உநகு நல்ல ஸுஇத் ஆகுது।,,Style_Variation
Exam results padu romba happy ah iruken.,I am very happy after seeing the exam results.,Eக்ஷம் ரேஸுல்த்ஸ் பது ரோம்ப ஹப்ப்ய் அஹ் இருகேந்।,,Phonetic_Variation
Exam results pathu romba happy ah iruken.,I am very happy after seeing the exam results.,Eக்ஷம் ரேஸுல்த்ஸ் பது ரோம்ப ஹப்ப்ய் அஹ் இருகேந்।,,Slang_Replacement
Exam results pathu romba happy ah iruken.,I am very happy after seeing the exam results.,Eக்ஷம் ரேஸுல்த்ஸ் பது ரோம்ப ஹப்ப்ய் அஹ் இருகேந்।,,Lexical_Loan_Words
Exam results pathu romba happy ah iruken. please,I am very happy after seeing the exam results. (polite),Eக்ஷம் ரேஸுல்த்ஸ் பது ரோம்ப ஹப்ப்ய் அஹ் இருகேந்।,,Style_Variation
Bus stand ku eppidi ponum nu solu.,Tell me how to go to the bus stand.,Bஉஸ் ஸ்தந்த் கு ஏப்பிதி போநும் நு ஸோல்லு।,,Phonetic_Variation
Bus stand ku eppidi ponum nu sollu.,Tell me how to go to the bus stand.,Bஉஸ் ஸ்தந்த் கு ஏப்பிதி போநும் நு ஸோல்லு।,,Slang_Replacement
Bus stand ku eppidi ponum nu sollu.,Tell me how to go to the bus stand.,Bஉஸ் ஸ்தந்த் கு ஏப்பிதி போநும் நு ஸோல்லு।,,Lexical_Loan_Words
Bus stand ku eppidi ponum nu sollu. please,Tell me how to go to the bus stand. (polite),Bஉஸ் ஸ்தந்த் கு ஏப்பிதி போநும் நு ஸோல்லு।,,Style_Variation
Inniku dinner ku veliya polama?,Shall we go out for dinner today?,ஈந்நிகு திந்நேர் கு வேலிய போலம?,,Phonetic_Variation
Inniku dinner ku veliya polama?,Shall we go out for dinner today?,ஈந்நிகு திந்நேர் கு வேலிய போலம?,,Slang_Replacement
Inniku dinner ku veliya polama?,Shall we go out for dinner today?,ஈந்நிகு திந்நேர் கு வேலிய போலம?,,Lexical_Loan_Words
Inniku dinner ku veliya polama? please,Shall we go out for dinner today? (polite),ஈந்நிகு திந்நேர் கு வேலிய போலம?,,Style_Variation
"Paytm la money send panniten, check panniko.","I sent the money via Paytm, please check it.","Pஅய்த்ம் ல மோநேய் ஸேந்த் பந்நிதேந், சேச்க் பந்நிகோ।",,Phonetic_Variation
"Paytm la money send panniten, check panniko.","I sent the money via Paytm, please check it.","Pஅய்த்ம் ல மோநேய் ஸேந்த் பந்நிதேந், சேச்க் பந்நிகோ।",,Slang_Replacement
"Paytm la money send panniten, check panniko.","I sent the money via Paytm, please check it.","Pஅய்த்ம் ல மோநேய் ஸேந்த் பந்நிதேந், சேச்க் பந்நிகோ।",,Lexical_Loan_Words
"Paytm la money send panniten, check panniko. please","I sent the money via Paytm, please check it. (polite)","Pஅய்த்ம் ல மோநேய் ஸேந்த் பந்நிதேந், சேச்க் பந்நிகோ।",,Style_Variation
Inda mobile camera quality semmaya iruku.,This mobile camera quality is awesome.,ஈந்த மோபிலே சமேர ஃ'குஅலித்ய் ஸேம்மய இருகு।,,Phonetic_Variation
Intha mobile camera quality semmaya iruku.,This mobile camera quality is awesome.,ஈந்த மோபிலே சமேர ஃ'குஅலித்ய் ஸேம்மய இருகு।,,Slang_Replacement
Intha mobile camera quality semmaya iruku.,This mobile camera quality is awesome.,ஈந்த மோபிலே சமேர ஃ'குஅலித்ய் ஸேம்மய இருகு।,,Lexical_Loan_Words
Intha mobile camera quality semmaya iruku. please,This mobile camera quality is awesome. (polite),ஈந்த மோபிலே சமேர ஃ'குஅலித்ய் ஸேம்மய இருகு।,,Style_Variation
"Traffic la maatikiten, 10 mins late aagum.","I'm stuck in traffic, I'll be 10 minutes late.","ட்ரஃப்ஃபிச் ல மாதிகிதேந், ௧௦ மிந்ஸ் லதே ஆகும்।",,Phonetic_Variation
"Traffic la maatikiten, 10 mins late aagum.","I'm stuck in traffic, I'll be 10 minutes late.","ட்ரஃப்ஃபிச் ல மாதிகிதேந், ௧௦ மிந்ஸ் லதே ஆகும்।",,Slang_Replacement
"Traffic la maatikiten, 10 mins late aagum.","I'm stuck in traffic, I'll be 10 minutes late.","ட்ரஃப்ஃபிச் ல மாதிகிதேந், ௧௦ மிந்ஸ் லதே ஆகும்।",,Lexical_Loan_Words
"Traffic la maatikiten, 10 mins late aagum. please","I'm stuck in traffic, I'll be 10 minutes late. (polite)","ட்ரஃப்ஃபிச் ல மாதிகிதேந், ௧௦ மிந்ஸ் லதே ஆகும்।",,Style_Variation
Nedu match la Dhoni performance vera level.,Dhoni's performance in yesterday's match was on another level.,ணேது மத்ச் ல டோநி பேர்ஃபோர்மந்சே வேர லேவேல்।,,Phonetic_Variation
Nethu match la Dhoni performance vera level.,Dhoni's performance in yesterday's match was on another level.,ணேது மத்ச் ல டோநி பேர்ஃபோர்மந்சே வேர லேவேல்।,,Slang_Replacement
Nethu match la Dhoni performance super.,Dhoni's performance in yesterday's match was on another level.,ணேது மத்ச் ல டோநி பேர்ஃபோர்மந்சே வேர லேவேல்।,,Lexical_Loan_Words
Nethu match la Dhoni performance vera level. please,Dhoni's performance in yesterday's match was on another level. (polite),ணேது மத்ச் ல டோநி பேர்ஃபோர்மந்சே வேர லேவேல்।,,Style_Variation
Inda area la house rent romba high.,House rent is very high in this area.,ஈந்த அரேஅ ல ஹோஉஸே ரேந்த் ரோம்ப ஹிக்।,,Phonetic_Variation
Intha area la house rent romba vanakkamgh.,House rent is very high in this area.,ஈந்த அரேஅ ல ஹோஉஸே ரேந்த் ரோம்ப ஹிக்।,,Slang_Replacement
Intha area la house rent romba high.,House rent is very high in this area.,ஈந்த அரேஅ ல ஹோஉஸே ரேந்த் ரோம்ப ஹிக்।,,Lexical_Loan_Words
Intha area la house rent romba high. please,House rent is very high in this area. (polite),ஈந்த அரேஅ ல ஹோஉஸே ரேந்த் ரோம்ப ஹிக்।,,Style_Variation
Doctor appointment 6 maniku fix panniruken.,I have fixed the doctor's appointment for 6 PM.,டோச்தோர் அப்போஇந்த்மேந்த் ௬ மநிகு ஃபிக்ஷ் பந்நிருகேந்।,,Phonetic_Variation
Doctor appointment 6 maniku fix panniruken.,I have fixed the doctor's appointment for 6 PM.,டோச்தோர் அப்போஇந்த்மேந்த் ௬ மநிகு ஃபிக்ஷ் பந்நிருகேந்।,,Slang_Replacement
Doctor appointment 6 maniku fix panniruken.,I have fixed the doctor's appointment for 6 PM.,டோச்தோர் அப்போஇந்த்மேந்த் ௬ மநிகு ஃபிக்ஷ் பந்நிருகேந்।,,Lexical_Loan_Words
Doctor appointment 6 maniku fix panniruken. please,I have fixed the doctor's appointment for 6 PM. (polite),டோச்தோர் அப்போஇந்த்மேந்த் ௬ மநிகு ஃபிக்ஷ் பந்நிருகேந்।,,Style_Variation
Colege admission fees eppo pay pannanum?,When should the college admission fees be paid?,சோல்லேகே அத்மிஸ்ஸிஓந் ஃபீஸ் ஏப்போ பய் பந்நநும்?,,Phonetic_Variation
College admission fees eppo pay pannaanum?,When should the college admission fees be paid?,சோல்லேகே அத்மிஸ்ஸிஓந் ஃபீஸ் ஏப்போ பய் பந்நநும்?,,Slang_Replacement
College admission fees eppo pay pannanum?,When should the college admission fees be paid?,சோல்லேகே அத்மிஸ்ஸிஓந் ஃபீஸ் ஏப்போ பய் பந்நநும்?,,Lexical_Loan_Words
College admission fees eppo pay pannanum? please,When should the college admission fees be paid? (polite),சோல்லேகே அத்மிஸ்ஸிஓந் ஃபீஸ் ஏப்போ பய் பந்நநும்?,,Style_Variation
Inda food romba spicy ah iruku.,This food is very spicy.,ஈந்த ஃபூத் ரோம்ப ஸ்பிச்ய் அஹ் இருகு।,,Phonetic_Variation
Intha food romba spicy ah iruku.,This food is very spicy.,ஈந்த ஃபூத் ரோம்ப ஸ்பிச்ய் அஹ் இருகு।,,Slang_Replacement
Intha food romba spicy ah iruku.,This food is very spicy.,ஈந்த ஃபூத் ரோம்ப ஸ்பிச்ய் அஹ் இருகு।,,Lexical_Loan_Words
Intha food romba spicy ah iruku. please,This food is very spicy. (polite),ஈந்த ஃபூத் ரோம்ப ஸ்பிச்ய் அஹ் இருகு।,,Style_Variation
Flight ticket rate sudden ah eariiduchi.,Flight ticket rates increased suddenly.,Fலிக்த் திச்கேத் ரதே ஸுத்தேந் அஹ் ஏஅரீதுசி।,,Phonetic_Variation
Flight ticket rate sudden ah eariiducvanakkam.,Flight ticket rates increased suddenly.,Fலிக்த் திச்கேத் ரதே ஸுத்தேந் அஹ் ஏஅரீதுசி।,,Slang_Replacement
Flight ticket rate sudden ah eariiduchi.,Flight ticket rates increased suddenly.,Fலிக்த் திச்கேத் ரதே ஸுத்தேந் அஹ் ஏஅரீதுசி।,,Lexical_Loan_Words
Flight ticket rate sudden ah eariiduchi. please,Flight ticket rates increased suddenly. (polite),Fலிக்த் திச்கேத் ரதே ஸுத்தேந் அஹ் ஏஅரீதுசி।,,Style_Variation
"System hang aagudu, restart pannanum.","The system is hanging, I need to restart it.","ஷ்ய்ஸ்தேம் ஹந்க் ஆகுது, ரேஸ்தர்த் பந்நநும்।",,Phonetic_Variation
"System hang aaguthu, restart pannaanum.","The system is hanging, I need to restart it.","ஷ்ய்ஸ்தேம் ஹந்க் ஆகுது, ரேஸ்தர்த் பந்நநும்।",,Slang_Replacement
"System hang aaguthu, restart pannanum.","The system is hanging, I need to restart it.","ஷ்ய்ஸ்தேம் ஹந்க் ஆகுது, ரேஸ்தர்த் பந்நநும்।",,Lexical_Loan_Words
"System hang aaguthu, restart pannanum. please","The system is hanging, I need to restart it. (polite)","ஷ்ய்ஸ்தேம் ஹந்க் ஆகுது, ரேஸ்தர்த் பந்நநும்।",,Style_Variation
Inniku climate romba cool ah iruku.,The climate is very cool today.,ஈந்நிகு ச்லிமதே ரோம்ப சூல் அஹ் இருகு।,,Phonetic_Variation
Inniku climate romba cool ah iruku.,The climate is very cool today.,ஈந்நிகு ச்லிமதே ரோம்ப சூல் அஹ் இருகு।,,Slang_Replacement
Inniku climate romba cool ah iruku.,The climate is very cool today.,ஈந்நிகு ச்லிமதே ரோம்ப சூல் அஹ் இருகு।,,Lexical_Loan_Words
Inniku climate romba cool ah iruku. please,The climate is very cool today. (polite),ஈந்நிகு ச்லிமதே ரோம்ப சூல் அஹ் இருகு।,,Style_Variation
Birdday party ku elarayum invite panniya?,Did you invite everyone to the birthday party?,Bஇர்த்தய் பர்த்ய் கு ஏல்லரயும் இந்விதே பந்நிய?,,Phonetic_Variation
Birthday party ku ellarayum invite panniya?,Did you invite everyone to the birthday party?,Bஇர்த்தய் பர்த்ய் கு ஏல்லரயும் இந்விதே பந்நிய?,,Slang_Replacement
Birthday party ku ellarayum invite panniya?,Did you invite everyone to the birthday party?,Bஇர்த்தய் பர்த்ய் கு ஏல்லரயும் இந்விதே பந்நிய?,,Lexical_Loan_Words
Birthday party ku ellarayum invite panniya? please,Did you invite everyone to the birthday party? (polite),Bஇர்த்தய் பர்த்ய் கு ஏல்லரயும் இந்விதே பந்நிய?,,Style_Variation
Inda song loop la kettu iruken.,I've been listening to this song on loop.,ஈந்த ஸோந்க் லூப் ல கேத்து இருகேந்।,,Phonetic_Variation
Intha song loop la kettu iruken.,I've been listening to this song on loop.,ஈந்த ஸோந்க் லூப் ல கேத்து இருகேந்।,,Slang_Replacement
Intha song loop la kettu iruken.,I've been listening to this song on loop.,ஈந்த ஸோந்க் லூப் ல கேத்து இருகேந்।,,Lexical_Loan_Words
Intha song loop la kettu iruken. please,I've been listening to this song on loop. (polite),ஈந்த ஸோந்க் லூப் ல கேத்து இருகேந்।,,Style_Variation
Salary innum credit aagala bro.,"The salary hasn't been credited yet, bro.",ஷலர்ய் இந்நும் ச்ரேதித் ஆகல ப்ரோ।,,Phonetic_Variation
Salary innum credit aagala nanba.,"The salary hasn't been credited yet, bro.",ஷலர்ய் இந்நும் ச்ரேதித் ஆகல ப்ரோ।,,Slang_Replacement
Salary innum credit aagala bro.,"The salary hasn't been credited yet, bro.",ஷலர்ய் இந்நும் ச்ரேதித் ஆகல ப்ரோ।,,Lexical_Loan_Words
Salary innum credit aagala bro. please,"The salary hasn't been credited yet, bro. (polite)",ஷலர்ய் இந்நும் ச்ரேதித் ஆகல ப்ரோ।,,Style_Variation
Gym ku poga start pannanum.,I need to start going to the gym.,ஃக³்ய்ம் கு போக ஸ்தர்த் பந்நநும்।,,Phonetic_Variation
Gym ku poga start pannaanum.,I need to start going to the gym.,ஃக³்ய்ம் கு போக ஸ்தர்த் பந்நநும்।,,Slang_Replacement
Gym ku poga start pannanum.,I need to start going to the gym.,ஃக³்ய்ம் கு போக ஸ்தர்த் பந்நநும்।,,Lexical_Loan_Words
Gym ku poga start pannanum. please,I need to start going to the gym. (polite),ஃக³்ய்ம் கு போக ஸ்தர்த் பந்நநும்।,,Style_Variation
Inda book romba interesting ah iruku.,This book is very interesting.,ஈந்த பூக் ரோம்ப இந்தேரேஸ்திந்க் அஹ் இருகு।,,Phonetic_Variation
Intha book romba interesting ah iruku.,This book is very interesting.,ஈந்த பூக் ரோம்ப இந்தேரேஸ்திந்க் அஹ் இருகு।,,Slang_Replacement
Intha book romba interesting ah iruku.,This book is very interesting.,ஈந்த பூக் ரோம்ப இந்தேரேஸ்திந்க் அஹ் இருகு।,,Lexical_Loan_Words
Intha book romba interesting ah iruku. please,This book is very interesting. (polite),ஈந்த பூக் ரோம்ப இந்தேரேஸ்திந்க் அஹ் இருகு।,,Style_Variation
Water bottle edudutu vara maranduten.,I forgot to bring the water bottle.,Wஅதேர் போத்த்லே ஏதுதுது வர மரந்துதேந்।,,Phonetic_Variation
Water bottle eduthutu vara maranthuten.,I forgot to bring the water bottle.,Wஅதேர் போத்த்லே ஏதுதுது வர மரந்துதேந்।,,Slang_Replacement
Water bottle eduthutu vara maranthuten.,I forgot to bring the water bottle.,Wஅதேர் போத்த்லே ஏதுதுது வர மரந்துதேந்।,,Lexical_Loan_Words
Water bottle eduthutu vara maranthuten. please,I forgot to bring the water bottle. (polite),Wஅதேர் போத்த்லே ஏதுதுது வர மரந்துதேந்।,,Style_Variation
Shift timing change aayiduchi.,The shift timing has changed.,ஷிஃப்த் திமிந்க் சந்கே ஆயிதுசி।,,Phonetic_Variation
Svanakkamft timing change aayiducvanakkam.,The shift timing has changed.,ஷிஃப்த் திமிந்க் சந்கே ஆயிதுசி।,,Slang_Replacement
Shift timing change aayiduchi.,The shift timing has changed.,ஷிஃப்த் திமிந்க் சந்கே ஆயிதுசி।,,Lexical_Loan_Words
Shift timing change aayiduchi. please,The shift timing has changed. (polite),ஷிஃப்த் திமிந்க் சந்கே ஆயிதுசி।,,Style_Variation
Mobile recharge panna maranduten.,I forgot to recharge my mobile.,ம்ஓபிலே ரேசர்கே பந்ந மரந்துதேந்।,,Phonetic_Variation
Mobile recharge panna maranthuten.,I forgot to recharge my mobile.,ம்ஓபிலே ரேசர்கே பந்ந மரந்துதேந்।,,Slang_Replacement
Mobile recharge panna maranthuten.,I forgot to recharge my mobile.,ம்ஓபிலே ரேசர்கே பந்ந மரந்துதேந்।,,Lexical_Loan_Words
Mobile recharge panna maranthuten. please,I forgot to recharge my mobile. (polite),ம்ஓபிலே ரேசர்கே பந்ந மரந்துதேந்।,,Style_Variation
Inda laptop battery backup nala iruku.,This laptop's battery backup is good.,ஈந்த லப்தோப் பத்தேர்ய் பச்குப் நல்ல இருகு।,,Phonetic_Variation
Intha laptop battery backup nalla iruku.,This laptop's battery backup is good.,ஈந்த லப்தோப் பத்தேர்ய் பச்குப் நல்ல இருகு।,,Slang_Replacement
Intha laptop battery backup nalla iruku.,This laptop's battery backup is good.,ஈந்த லப்தோப் பத்தேர்ய் பச்குப் நல்ல இருகு।,,Lexical_Loan_Words
Intha laptop battery backup nalla iruku. please,This laptop's battery backup is good. (polite),ஈந்த லப்தோப் பத்தேர்ய் பச்குப் நல்ல இருகு।,,Style_Variation
Interview eppo nu mail vanduchi.,I received a mail about when the interview is.,ஈந்தேர்விஏவ் ஏப்போ நு மைல் வந்துசி।,,Phonetic_Variation
Interview eppo nu mail vanthucvanakkam.,I received a mail about when the interview is.,ஈந்தேர்விஏவ் ஏப்போ நு மைல் வந்துசி।,,Slang_Replacement
Interview eppo nu mail vanthuchi.,I received a mail about when the interview is.,ஈந்தேர்விஏவ் ஏப்போ நு மைல் வந்துசி।,,Lexical_Loan_Words
Interview eppo nu mail vanthuchi. please,I received a mail about when the interview is. (polite),ஈந்தேர்விஏவ் ஏப்போ நு மைல் வந்துசி।,,Style_Variation
Movie ticket online la book panniya?,Did you book the movie ticket online?,ம்ஓவிஏ திச்கேத் ஓந்லிநே ல பூக் பந்நிய?,,Phonetic_Variation
Movie ticket online la book panniya?,Did you book the movie ticket online?,ம்ஓவிஏ திச்கேத் ஓந்லிநே ல பூக் பந்நிய?,,Slang_Replacement
Movie ticket online la book panniya?,Did you book the movie ticket online?,ம்ஓவிஏ திச்கேத் ஓந்லிநே ல பூக் பந்நிய?,,Lexical_Loan_Words
Movie ticket online la book panniya? please,Did you book the movie ticket online? (polite),ம்ஓவிஏ திச்கேத் ஓந்லிநே ல பூக் பந்நிய?,,Style_Variation
Inniku lunch box pack panna time ila.,There was no time to pack the lunch box today.,ஈந்நிகு லுந்ச் போக்ஷ் பச்க் பந்ந திமே இல்ல।,,Phonetic_Variation
Inniku lunch box pack panna time illa.,There was no time to pack the lunch box today.,ஈந்நிகு லுந்ச் போக்ஷ் பச்க் பந்ந திமே இல்ல।,,Slang_Replacement
Inniku lunch box pack panna time illa.,There was no time to pack the lunch box today.,ஈந்நிகு லுந்ச் போக்ஷ் பச்க் பந்ந திமே இல்ல।,,Lexical_Loan_Words
Inniku lunch box pack panna time illa. please,There was no time to pack the lunch box today. (polite),ஈந்நிகு லுந்ச் போக்ஷ் பச்க் பந்ந திமே இல்ல।,,Style_Variation
Heavy rain nala match cancel aayiduchi.,The match was cancelled due to heavy rain.,ஃஏஅவ்ய் ரைந் நல மத்ச் சந்சேல் ஆயிதுசி।,,Phonetic_Variation
Heavy rain nala match cancel aayiducvanakkam.,The match was cancelled due to heavy rain.,ஃஏஅவ்ய் ரைந் நல மத்ச் சந்சேல் ஆயிதுசி।,,Slang_Replacement
Heavy rain nala match cancel aayiduchi.,The match was cancelled due to heavy rain.,ஃஏஅவ்ய் ரைந் நல மத்ச் சந்சேல் ஆயிதுசி।,,Lexical_Loan_Words
Heavy rain nala match cancel aayiduchi. please,The match was cancelled due to heavy rain. (polite),ஃஏஅவ்ய் ரைந் நல மத்ச் சந்சேல் ஆயிதுசி।,,Style_Variation
Weekend plan enna nanba?,"What is the weekend plan, friend?",Wஈகேந்த் ப்லந் ஏந்ந நந்ப?,,Phonetic_Variation
Weekend plan enna nanba?,"What is the weekend plan, friend?",Wஈகேந்த் ப்லந் ஏந்ந நந்ப?,,Slang_Replacement
Weekend plan enna nanba?,"What is the weekend plan, friend?",Wஈகேந்த் ப்லந் ஏந்ந நந்ப?,,Lexical_Loan_Words
Weekend plan enna nanba? please,"What is the weekend plan, friend? (polite)",Wஈகேந்த் ப்லந் ஏந்ந நந்ப?,,Style_Variation
Parcel innum delivery aagala.,The parcel has not been delivered yet.,Pஅர்சேல் இந்நும் தேலிவேர்ய் ஆகல।,,Phonetic_Variation
Parcel innum delivery aagala.,The parcel has not been delivered yet.,Pஅர்சேல் இந்நும் தேலிவேர்ய் ஆகல।,,Slang_Replacement
Parcel innum delivery aagala.,The parcel has not been delivered yet.,Pஅர்சேல் இந்நும் தேலிவேர்ய் ஆகல।,,Lexical_Loan_Words
Parcel innum delivery aagala. please,The parcel has not been delivered yet. (polite),Pஅர்சேல் இந்நும் தேலிவேர்ய் ஆகல।,,Style_Variation
Inda shop la tea semmaya irukum.,The tea in this shop will be excellent.,ஈந்த ஶோப் ல தேஅ ஸேம்மய இருகும்।,,Phonetic_Variation
Intha shop la tea semmaya irukum.,The tea in this shop will be excellent.,ஈந்த ஶோப் ல தேஅ ஸேம்மய இருகும்।,,Slang_Replacement
Intha shop la tea semmaya irukum.,The tea in this shop will be excellent.,ஈந்த ஶோப் ல தேஅ ஸேம்மய இருகும்।,,Lexical_Loan_Words
Intha shop la tea semmaya irukum. please,The tea in this shop will be excellent. (polite),ஈந்த ஶோப் ல தேஅ ஸேம்மய இருகும்।,,Style_Variation
Exam ku prepare aaga innum time venum.,I need more time to prepare for the exam.,Eக்ஷம் கு ப்ரேபரே ஆக இந்நும் திமே வேநும்।,,Phonetic_Variation
Exam ku prepare aaga innum time venum.,I need more time to prepare for the exam.,Eக்ஷம் கு ப்ரேபரே ஆக இந்நும் திமே வேநும்।,,Slang_Replacement
Exam ku prepare aaga innum time venum.,I need more time to prepare for the exam.,Eக்ஷம் கு ப்ரேபரே ஆக இந்நும் திமே வேநும்।,,Lexical_Loan_Words
Exam ku prepare aaga innum time venum. please,I need more time to prepare for the exam. (polite),Eக்ஷம் கு ப்ரேபரே ஆக இந்நும் திமே வேநும்।,,Style_Variation
Power bank charge la puda maranduten.,I forgot to put the power bank on charge.,Pஓவேர் பந்க் சர்கே ல புத மரந்துதேந்।,,Phonetic_Variation
Power bank charge la puda maranthuten.,I forgot to put the power bank on charge.,Pஓவேர் பந்க் சர்கே ல புத மரந்துதேந்।,,Slang_Replacement
Power bank charge la puda maranthuten.,I forgot to put the power bank on charge.,Pஓவேர் பந்க் சர்கே ல புத மரந்துதேந்।,,Lexical_Loan_Words
Power bank charge la puda maranthuten. please,I forgot to put the power bank on charge. (polite),Pஓவேர் பந்க் சர்கே ல புத மரந்துதேந்।,,Style_Variation
Inda phone cover nala protect pannudu.,This phone cover protects well.,ஈந்த போநே சோவேர் நல்ல ப்ரோதேச்த் பந்நுது।,,Phonetic_Variation
Intha phone cover nalla protect pannuthu.,This phone cover protects well.,ஈந்த போநே சோவேர் நல்ல ப்ரோதேச்த் பந்நுது।,,Slang_Replacement
Intha phone cover nalla protect pannuthu.,This phone cover protects well.,ஈந்த போநே சோவேர் நல்ல ப்ரோதேச்த் பந்நுது।,,Lexical_Loan_Words
Intha phone cover nalla protect pannuthu. please,This phone cover protects well. (polite),ஈந்த போநே சோவேர் நல்ல ப்ரோதேச்த் பந்நுது।,,Style_Variation
Inniku evening cricket vilayada polama?,Shall we go to play cricket this evening?,ஈந்நிகு ஏவேநிந்க் ச்ரிச்கேத் விலயத போலம?,,Phonetic_Variation
Inniku evening cricket vilayada polama?,Shall we go to play cricket this evening?,ஈந்நிகு ஏவேநிந்க் ச்ரிச்கேத் விலயத போலம?,,Slang_Replacement
Inniku evening cricket vilayada polama?,Shall we go to play cricket this evening?,ஈந்நிகு ஏவேநிந்க் ச்ரிச்கேத் விலயத போலம?,,Lexical_Loan_Words
Inniku evening cricket vilayada polama? please,Shall we go to play cricket this evening? (polite),ஈந்நிகு ஏவேநிந்க் ச்ரிச்கேத் விலயத போலம?,,Style_Variation
Wifi connection romba slow ah iruku.,The wifi connection is very slow.,Wஇஃபி சோந்நேச்திஓந் ரோம்ப ஸ்லோவ் அஹ் இருகு।,,Phonetic_Variation
Wifi connection romba slow ah iruku.,The wifi connection is very slow.,Wஇஃபி சோந்நேச்திஓந் ரோம்ப ஸ்லோவ் அஹ் இருகு।,,Slang_Replacement
Wifi connection romba slow ah iruku.,The wifi connection is very slow.,Wஇஃபி சோந்நேச்திஓந் ரோம்ப ஸ்லோவ் அஹ் இருகு।,,Lexical_Loan_Words
Wifi connection romba slow ah iruku. please,The wifi connection is very slow. (polite),Wஇஃபி சோந்நேச்திஓந் ரோம்ப ஸ்லோவ் அஹ் இருகு।,,Style_Variation
Inda movie climax yarum edir paakala.,No one expected this movie's climax.,ஈந்த மோவிஏ ச்லிமக்ஷ் யரும் ஏதிர் பாகல।,,Phonetic_Variation
Intha movie climax yarum etvanakkamr paakala.,No one expected this movie's climax.,ஈந்த மோவிஏ ச்லிமக்ஷ் யரும் ஏதிர் பாகல।,,Slang_Replacement
Intha movie climax yarum ethir paakala.,No one expected this movie's climax.,ஈந்த மோவிஏ ச்லிமக்ஷ் யரும் ஏதிர் பாகல।,,Lexical_Loan_Words
Intha movie climax yarum ethir paakala. please,No one expected this movie's climax. (polite),ஈந்த மோவிஏ ச்லிமக்ஷ் யரும் ஏதிர் பாகல।,,Style_Variation
Office meeting cancel aayiduchi nu sonnanga.,They said the office meeting has been cancelled.,Oஃப்ஃபிசே மீதிந்க் சந்சேல் ஆயிதுசி நு ஸோந்நந்க।,,Phonetic_Variation
Office meeting cancel aayiducvanakkam nu sonnanga.,They said the office meeting has been cancelled.,Oஃப்ஃபிசே மீதிந்க் சந்சேல் ஆயிதுசி நு ஸோந்நந்க।,,Slang_Replacement
Office meeting cancel aayiduchi nu sonnanga.,They said the office meeting has been cancelled.,Oஃப்ஃபிசே மீதிந்க் சந்சேல் ஆயிதுசி நு ஸோந்நந்க।,,Lexical_Loan_Words
Office meeting cancel aayiduchi nu sonnanga. please,They said the office meeting has been cancelled. (polite),Oஃப்ஃபிசே மீதிந்க் சந்சேல் ஆயிதுசி நு ஸோந்நந்க।,,Style_Variation
New year celebration ku plan enna?,What is the plan for the New Year celebration?,ணேவ் யேஅர் சேலேப்ரதிஓந் கு ப்லந் ஏந்ந?,,Phonetic_Variation
New year celebration ku plan enna?,What is the plan for the New Year celebration?,ணேவ் யேஅர் சேலேப்ரதிஓந் கு ப்லந் ஏந்ந?,,Slang_Replacement
New year celebration ku plan enna?,What is the plan for the New Year celebration?,ணேவ் யேஅர் சேலேப்ரதிஓந் கு ப்லந் ஏந்ந?,,Lexical_Loan_Words
New year celebration ku plan enna? please,What is the plan for the New Year celebration? (polite),ணேவ் யேஅர் சேலேப்ரதிஓந் கு ப்லந் ஏந்ந?,,Style_Variation
Inda dress color unaku match aagala.,This dress color doesn't match you.,ஈந்த த்ரேஸ்ஸ் சோலோர் உநகு மத்ச் ஆகல।,,Phonetic_Variation
Intha dress color unaku match aagala.,This dress color doesn't match you.,ஈந்த த்ரேஸ்ஸ் சோலோர் உநகு மத்ச் ஆகல।,,Slang_Replacement
Intha dress color unaku match aagala.,This dress color doesn't match you.,ஈந்த த்ரேஸ்ஸ் சோலோர் உநகு மத்ச் ஆகல।,,Lexical_Loan_Words
Intha dress color unaku match aagala. please,This dress color doesn't match you. (polite),ஈந்த த்ரேஸ்ஸ் சோலோர் உநகு மத்ச் ஆகல।,,Style_Variation
Online classes kavanika mudiyala.,I am unable to pay attention to online classes.,Oந்லிநே ச்லஸ்ஸேஸ் கவநிக முதியல।,,Phonetic_Variation
Online classes kavanika mudiyala.,I am unable to pay attention to online classes.,Oந்லிநே ச்லஸ்ஸேஸ் கவநிக முதியல।,,Slang_Replacement
Online classes kavanika mudiyala.,I am unable to pay attention to online classes.,Oந்லிநே ச்லஸ்ஸேஸ் கவநிக முதியல।,,Lexical_Loan_Words
Online classes kavanika mudiyala. please,I am unable to pay attention to online classes. (polite),Oந்லிநே ச்லஸ்ஸேஸ் கவநிக முதியல।,,Style_Variation
Laptop bag la chain stuck aayiduchi.,The zipper on the laptop bag got stuck.,ளப்தோப் பக் ல சைந் ஸ்துச்க் ஆயிதுசி।,,Phonetic_Variation
